AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
123,-111,34,-19,113,81,0
101,-110,19,-7,108,81,0
90,-54,69,-50,92,55,0
120,-112,54,-36,109,71,0
124,-118,55,-36,117,98,0
108,-68,45,-28,93,71,0
111,-75,45,-27,108,94,0
123,-115,47,-29,122,94,0
103,-65,55,-37,97,60,0
102,-69,46,-28,96,78,0
111,-117,37,-21,111,86,0
108,-72,69,-49,100,80,0
123,-115,106,-93,106,76,0
118,-113,57,-38,110,89,0
122,-117,63,-44,116,95,0
117,-111,44,-27,111,94,0
106,-64,66,-47,102,68,0
124,-114,48,-30,113,82,0
121,-122,72,-52,111,101,0
103,-67,60,-41,96,77,0
107,-109,46,-29,108,85,0
112,-69,42,-25,102,79,0
119,-109,63,-44,103,70,0
107,-70,51,-32,98,75,0
122,-115,97,-81,111,74,0
90,-31,72,-53,87,67,0
124,-122,69,-50,116,84,0
109,-73,58,-39,105,64,0
122,-113,39,-23,113,75,0
118,-109,47,-29,107,74,0
109,-67,117,-110,92,63,0
122,-114,38,-22,119,91,0
126,-127,78,-59,126,110,0
109,-112,18,-7,106,79,0
94,-59,79,-60,89,55,0
97,-71,31,-17,101,87,0
108,-74,83,-65,107,97,0
123,-118,38,-22,117,93,0
110,-67,78,-59,104,86,0
104,-73,82,-63,100,70,0
101,-109,49,-31,100,71,0
109,-110,44,-27,102,80,0
98,-60,85,-67,95,79,0
115,-110,59,-40,104,76,0
121,-112,45,-28,110,98,0
119,-113,56,-37,109,79,0
122,-119,50,-31,119,72,0
121,-119,55,-36,118,92,0
120,-109,35,-19,109,89,0
121,-114,67,-47,104,81,0
119,-117,61,-41,113,82,0
112,-113,57,-38,104,77,0
119,-117,78,-59,108,99,0
110,-69,37,-21,106,84,0
97,-63,53,-34,94,71,0
85,-46,80,-61,86,65,0
118,-116,81,-62,112,77,0
105,-66,60,-41,102,82,0
96,-56,50,-32,87,56,0
