source_split,source_label,source_row,AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
train,0,0,0.7720970476775266,3.4550835940721663,0.6793450470335178,0.7338189879466377,0.9325,0.6907407407407408,0
train,1,3000,0.6897211507982481,4.057506971610329,0.544207911762701,0.8389503851688014,0.812933025404157,0.6089965397923875,1
train,2,6000,0.674264125746321,4.779816583582896,0.466473738310872,0.8845350481842311,0.7779605263157895,0.6569444444444444,2
train,3,8999,0.577061460422083,5.503162464858271,0.5464257814508384,0.8375075315278309,0.663003663003663,0.4677002583979328,3
train,4,11999,0.6413527222806749,4.932622769699434,0.557047026920745,0.8304809508945757,0.7048092868988391,0.4857142857142857,4
train,5,14999,0.5599552945403993,5.950447517347752,0.6947486650354613,0.7192525929264659,0.5761353517364203,0.3586474501108647,5
test,0,0,0.750599360049547,4.0576076856947365,0.900248799854803,0.4353758127870528,0.8875379939209727,0.6045548654244306,0
test,1,600,0.672853713811354,4.164718981307906,0.4820051443900533,0.8761683860888407,0.8116883116883117,0.5804953560371517,1
test,2,1200,0.5993582173151122,4.966962459850307,0.4589602631116831,0.888456795170398,0.6931818181818182,0.5545454545454546,2
test,3,1800,0.6236473387137432,5.311555724231675,0.5221574517652237,0.8528491048046237,0.6860103626943005,0.5535117056856187,3
test,4,2400,0.6252049831196163,5.176545342886463,0.5905027180950991,0.8070356497220553,0.6852941176470588,0.4623015873015873,4
test,5,3000,0.5421005992756296,5.702573830288158,0.7277045280821444,0.6858907491785725,0.5545977011494253,0.3639220615964802,5
